Time_Seconds,Sensor_Name,Sensor_ID,Watts
4.067,GPU Power,/gpu-intel-integrated/%5C%5C%3F%5CPCI%23VEN_8086%26DEV_46A8%26SUBSYS_8A20103C%26REV_0C%233%2611583659%262%2610%23%7B1ca05180-a699-450a-9a0c-de4fbe3ddd89%7D/power/0,0.011364630423486233
4.602,CPU Package,/intelcpu/0/power/0,14.363873481750488
4.602,CPU Cores,/intelcpu/0/power/1,13.463942527770996
4.602,CPU Memory,/intelcpu/0/power/3,0.0
4.602,CPU Platform,/intelcpu/0/power/4,0.0
4.602,GPU Power,/gpu-intel-integrated/%5C%5C%3F%5CPCI%23VEN_8086%26DEV_46A8%26SUBSYS_8A20103C%26REV_0C%233%2611583659%262%2610%23%7B1ca05180-a699-450a-9a0c-de4fbe3ddd89%7D/power/0,0.009223466739058495
5.119,CPU Package,/intelcpu/0/power/0,14.499943733215332
5.119,CPU Cores,/intelcpu/0/power/1,10.767715454101562
5.119,CPU Memory,/intelcpu/0/power/3,0.0
5.119,CPU Platform,/intelcpu/0/power/4,0.0
5.119,GPU Power,/gpu-intel-integrated/%5C%5C%3F%5CPCI%23VEN_8086%26DEV_46A8%26SUBSYS_8A20103C%26REV_0C%233%2611583659%262%2610%23%7B1ca05180-a699-450a-9a0c-de4fbe3ddd89%7D/power/0,0.01101272739470005
5.572,CPU Package,/intelcpu/0/power/0,12.846240997314453
5.572,CPU Cores,/intelcpu/0/power/1,14.197625160217285
5.572,CPU Memory,/intelcpu/0/power/3,0.0
5.572,CPU Platform,/intelcpu/0/power/4,0.0
5.572,GPU Power,/gpu-intel-integrated/%5C%5C%3F%5CPCI%23VEN_8086%26DEV_46A8%26SUBSYS_8A20103C%26REV_0C%233%2611583659%262%2610%23%7B1ca05180-a699-450a-9a0c-de4fbe3ddd89%7D/power/0,0.006683876737952232
6.086,CPU Package,/intelcpu/0/power/0,16.75054168701172
6.086,CPU Cores,/intelcpu/0/power/1,13.138076782226562
6.086,CPU Memory,/intelcpu/0/power/3,0.0
6.086,CPU Platform,/intelcpu/0/power/4,0.0
6.086,GPU Power,/gpu-intel-integrated/%5C%5C%3F%5CPCI%23VEN_8086%26DEV_46A8%26SUBSYS_8A20103C%26REV_0C%233%2611583659%262%2610%23%7B1ca05180-a699-450a-9a0c-de4fbe3ddd89%7D/power/0,0.009324474260210991
6.555,CPU Package,/intelcpu/0/power/0,12.92319393157959
6.555,CPU Cores,/intelcpu/0/power/1,14.471464157104492
6.555,CPU Memory,/intelcpu/0/power/3,0.0
6.555,CPU Platform,/intelcpu/0/power/4,0.0
6.555,GPU Power,/gpu-intel-integrated/%5C%5C%3F%5CPCI%23VEN_8086%26DEV_46A8%26SUBSYS_8A20103C%26REV_0C%233%2611583659%262%2610%23%7B1ca05180-a699-450a-9a0c-de4fbe3ddd89%7D/power/0,0.009211814031004906
7.053,CPU Package,/intelcpu/0/power/0,15.540714263916016
7.053,CPU Cores,/intelcpu/0/power/1,9.477812767028809
7.053,CPU Memory,/intelcpu/0/power/3,0.0
7.053,CPU Platform,/intelcpu/0/power/4,0.0
7.053,GPU Power,/gpu-intel-integrated/%5C%5C%3F%5CPCI%23VEN_8086%26DEV_46A8%26SUBSYS_8A20103C%26REV_0C%233%2611583659%262%2610%23%7B1ca05180-a699-450a-9a0c-de4fbe3ddd89%7D/power/0,0.007751398719847202
7.562,CPU Package,/intelcpu/0/power/0,16.25844383239746
7.562,CPU Cores,/intelcpu/0/power/1,16.41490364074707
7.562,CPU Memory,/intelcpu/0/power/3,0.0
7.562,CPU Platform,/intelcpu/0/power/4,0.0
7.562,GPU Power,/gpu-intel-integrated/%5C%5C%3F%5CPCI%23VEN_8086%26DEV_46A8%26SUBSYS_8A20103C%26REV_0C%233%2611583659%262%2610%23%7B1ca05180-a699-450a-9a0c-de4fbe3ddd89%7D/power/0,0.009553753770887852
8.092,CPU Package,/intelcpu/0/power/0,16.63252830505371
8.092,CPU Cores,/intelcpu/0/power/1,13.130785942077637
8.092,CPU Memory,/intelcpu/0/power/3,0.0
8.092,CPU Platform,/intelcpu/0/power/4,0.0
8.092,GPU Power,/gpu-intel-integrated/%5C%5C%3F%5CPCI%23VEN_8086%26DEV_46A8%26SUBSYS_8A20103C%26REV_0C%233%2611583659%262%2610%23%7B1ca05180-a699-450a-9a0c-de4fbe3ddd89%7D/power/0,0.008459649980068207
